,English,Meaning
4690,yield,give or supply
4691,projection,the act of expelling or ejecting
4692,battle,a hostile meeting of opposing military forces
4693,suitable,meant or adapted for an occasion or use
4694,mention,make reference to
4695,graduation,the successful completion of a program of study
4696,drill,a tool for making holes in hard materials
4697,cruel,able or disposed to inflict pain or suffering
4698,mansion,a large and imposing house
4699,regard,the condition of being honored or respected
4700,grape,any of numerous woody vines of genus Vitis bearing clusters of edible berries
4701,authorize,grant permission or clearance for
4702,cottage,a small house with a single story
4703,driveway,a road leading up to a private house
4704,charm,attractiveness that interests or pleases or stimulates
4705,sexuality,the properties distinguishing reproductive roles
4706,loyal,steadfast in allegiance or duty
4707,clay,"water-soaked soil; soft, wet earth"
4708,pound,16 ounces avoirdupois
4709,balloon,a small thin inflatable rubber bag
4710,invention,the act of making something new
4711,ego,an inflated feeling of pride in your superiority to others
4712,fare,the sum charged for riding in a public conveyance
4713,homework,preparatory school work done outside school
4714,disc,a flat circular plate
4715,sofa,an upholstered seat for more than one person
4716,guarantee,an unconditional commitment that something will happen
4717,availability,the quality of being at hand when needed
4718,radar,measuring instrument using pulses of microwave radiation
4719,frown,a facial expression of dislike or displeasure
4720,regain,get or find back; recover the use of
4721,leave,go away from a place
4722,permit,allow the presence of or allow without opposing
4723,sweater,a crocheted or knitted garment covering the upper part of the body
4724,rehabilitation,use of therapies to restore or improve physical function
4725,rubber,an elastic material obtained from the latex sap of trees (especially trees of the genera Hevea and Ficus) that can be vulcanized and finished into a variety of products
4726,retreat,the act of withdrawing or going backward
4727,molecule,the simplest structural unit of an element or compound
4728,freely,in a free manner
4729,favorable,encouraging or approving or pleasing
4730,steadily,at a continuous rate or pace
4731,veteran,a person who has served in the armed forces
4732,integrated,formed or united into a whole
4733,youngster,a young person of either sex
4734,broadcast,"disseminate over the airwaves, as in radio or television"
4735,premium,having or reflecting superior quality or value
4736,accountability,responsibility to someone or for some activity
4737,overwhelm,"overcome, as with emotions or perceptual stimuli"
4738,one-third,one of three equal parts of a divisible whole
4739,contemplate,"think intently and at length, as for spiritual purposes"
4740,update,modernize
4741,spark,a small fragment of a burning substance
4742,ironically,in a manner characterized by incongruity or unexpectedness
4743,fatigue,temporary loss of strength and energy from hard work
4744,beyond,farther along in space or time or degree
4745,speculate,reflect deeply on a subject
4746,marker,a writing implement for making a mark
4747,low,less than normal in degree or intensity or amount
4748,preach,deliver a sermon
4749,bucket,a roughly cylindrical vessel that is open at the top
4750,bomb,an explosive device fused to explode under specific conditions
4751,blond,being or having light colored skin and hair
4752,confession,an admission of misdeeds or faults
4753,provoke,provide the needed stimulus for
4754,marble,a hard crystalline metamorphic rock that takes a high polish
4755,substantially,to a great extent or degree
4756,twist,cause an object to assume a curved or distorted shape
4757,defender,a person who cares for persons or property
4758,fish,any of various mostly cold-blooded aquatic vertebrates
4759,explicit,precisely and clearly expressed or readily observable
4760,transport,move something or somebody around
4761,disturbing,causing distress or worry or anxiety
4762,surveillance,close observation of a person or group
4763,magnetic,of or relating to or caused by attraction for iron
4764,technician,someone who is trained in a specific process
4765,mutter,talk indistinctly; usually in a low voice
4766,devastating,wreaking or capable of wreaking complete destruction
4767,depart,go away or leave
4768,arrow,projectile with a thin shaft intended to be shot from a bow
4769,trauma,an emotional wound or shock having long-lasting effects
4770,neighboring,having a common boundary or edge; abutting; touching
4771,soak,submerge in a liquid
4772,ribbon,any long object resembling a thin line
4773,meantime,"the time between one event, process, or period and another"
4774,transmit,send from one person or place to another
4775,screen,partition consisting of a decorative frame or panel that serves to divide a space
4776,harvest,the gathering of a ripened crop
4777,consecutive,one after the other
